
- LTC, zz_hh, short, 2025-08-21 03:13:50.010328
- LTC, zz_hh, short, 2025-08-21 03:13:50.012815
- LTC, zz_hh, short, 2025-08-21 03:13:51.016826
- LTC, zz_hh, short, 2025-08-21 03:13:51.019463
- LTC, zz_hh, short, 2025-08-21 03:13:51.021910
- LTC, zz_hh, short, 2025-08-21 03:13:52.026010
- LTC, zz_hh, short, 2025-08-21 03:13:52.029060
- LTC, zz_hh, short, 2025-08-21 03:13:52.031703
- LTC, zz_hh, short, 2025-08-21 03:13:53.035835
- LTC, zz_hh, short, 2025-08-21 03:13:53.038767
- XLM, zz_lh, short, 2025-08-21 03:13:53.038850
- LTC, zz_hh, short, 2025-08-21 03:13:53.041221
- XLM, zz_lh, short, 2025-08-21 03:13:53.041306
- LTC, zz_hh, short, 2025-08-21 03:13:54.045258
- XLM, zz_lh, short, 2025-08-21 03:13:54.045318
- LTC, zz_hh, short, 2025-08-21 03:13:54.047850
- XLM, zz_lh, short, 2025-08-21 03:13:54.047908
- LTC, zz_hh, short, 2025-08-21 03:13:54.050217
- XLM, zz_lh, short, 2025-08-21 03:13:54.050272
- LTC, zz_hh, short, 2025-08-21 03:13:55.054275
- XLM, zz_lh, short, 2025-08-21 03:13:55.054337
- LTC, zz_hh, short, 2025-08-21 03:13:55.057044
- XLM, zz_lh, short, 2025-08-21 03:13:55.057101
- LTC, zz_hh, short, 2025-08-21 03:13:55.059537
- XLM, zz_lh, short, 2025-08-21 03:13:55.059594
- LTC, zz_hh, short, 2025-08-21 03:13:56.063984
- XLM, zz_lh, short, 2025-08-21 03:13:56.064045
- LTC, zz_hh, short, 2025-08-21 03:13:56.066745
- XLM, zz_lh, short, 2025-08-21 03:13:56.066823
- SOL, zz_hh, short, 2025-08-21 03:13:56.066874
- LTC, zz_hh, short, 2025-08-21 03:13:56.069327
- XLM, zz_lh, short, 2025-08-21 03:13:56.069382
- SOL, zz_hh, short, 2025-08-21 03:13:56.069427
- LTC, zz_hh, short, 2025-08-21 03:13:57.073662
- XLM, zz_lh, short, 2025-08-21 03:13:57.073722
- SOL, zz_hh, short, 2025-08-21 03:13:57.073766
- LTC, zz_hh, short, 2025-08-21 03:13:57.076720
- XLM, zz_lh, short, 2025-08-21 03:13:57.076774
- SOL, zz_hh, short, 2025-08-21 03:13:57.076854
- ADA, zz_lh, short, 2025-08-21 03:13:57.076901
- LTC, zz_hh, short, 2025-08-21 03:13:57.079266
- XLM, zz_lh, short, 2025-08-21 03:13:57.079321
- SOL, zz_hh, short, 2025-08-21 03:13:57.079374
- ADA, zz_lh, short, 2025-08-21 03:13:57.079416
- LTC, zz_hh, short, 2025-08-21 03:13:58.083595
- XLM, zz_lh, short, 2025-08-21 03:13:58.083656
- SOL, zz_hh, short, 2025-08-21 03:13:58.083700
- ADA, zz_lh, short, 2025-08-21 03:13:58.083752
- LTC, zz_hh, short, 2025-08-21 03:13:58.086756
- XLM, zz_lh, short, 2025-08-21 03:13:58.086836
- SOL, zz_hh, short, 2025-08-21 03:13:58.086886
- ADA, zz_lh, short, 2025-08-21 03:13:58.086931
- BTC, zz_hh, short, 2025-08-21 03:13:58.086973
- LTC, zz_hh, short, 2025-08-21 03:13:58.089415
- XLM, zz_lh, short, 2025-08-21 03:13:58.089470
- SOL, zz_hh, short, 2025-08-21 03:13:58.089516
- ADA, zz_lh, short, 2025-08-21 03:13:58.089559
- BTC, zz_hh, short, 2025-08-21 03:13:58.089600
- LTC, zz_hh, short, 2025-08-21 03:13:59.093694
- XLM, zz_lh, short, 2025-08-21 03:13:59.093754
- SOL, zz_hh, short, 2025-08-21 03:13:59.093824
- ADA, zz_lh, short, 2025-08-21 03:13:59.093872
- BTC, zz_hh, short, 2025-08-21 03:13:59.093923
- LTC, zz_hh, short, 2025-08-21 03:13:59.096578
- XLM, zz_lh, short, 2025-08-21 03:13:59.096631
- SOL, zz_hh, short, 2025-08-21 03:13:59.096676
- ADA, zz_lh, short, 2025-08-21 03:13:59.096718
- BTC, zz_hh, short, 2025-08-21 03:13:59.096758
- LTC, zz_hh, short, 2025-08-21 03:13:59.099839
- XLM, zz_lh, short, 2025-08-21 03:13:59.099898
- SOL, zz_hh, short, 2025-08-21 03:13:59.099945
- ADA, zz_lh, short, 2025-08-21 03:13:59.099987
- BTC, zz_hh, short, 2025-08-21 03:13:59.100027
